City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
165,Torbay,CA,47.6666,-52.7314,31.57,83,100,9.22,overcast clouds,2023-01-07 19:32:45
166,Coquimbo,CL,-29.9533,-71.3436,73.13,60,0,14.97,clear sky,2023-01-07 19:32:02
167,Hami,CN,42.8,93.45,23.94,47,6,3.15,clear sky,2023-01-07 19:32:15
168,Guerrero Negro,MX,27.9769,-114.0611,70.18,35,0,4.72,clear sky,2023-01-07 19:37:44
169,Canico,PT,32.6333,-16.85,66.83,83,20,3.44,few clouds,2023-01-07 19:40:53
170,Luderitz,NA,-26.6481,15.1594,66.18,69,3,5.48,clear sky,2023-01-07 19:33:06
171,Teguldet,RU,57.3064,88.1667,22.68,95,100,9.53,light snow,2023-01-07 19:40:54
172,Quelimane,MZ,-17.8786,36.8883,80.55,89,75,6.91,moderate rain,2023-01-07 19:40:54
173,Serdobsk,RU,52.4586,44.2169,-7.31,91,64,9.01,broken clouds,2023-01-07 19:40:55
174,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,85.93,74,20,4.61,few clouds,2023-01-07 19:40:55
175,Leningradskiy,RU,69.3833,178.4167,-14.17,97,98,4.88,overcast clouds,2023-01-07 19:31:58
176,Narrabri,AU,-30.3167,149.7833,61.52,83,0,3.0,clear sky,2023-01-07 19:40:57
177,Nuzvid,IN,16.7833,80.85,62.89,84,0,3.4,clear sky,2023-01-07 19:40:58
178,Lebu,CL,-37.6167,-73.65,65.05,72,25,8.21,scattered clouds,2023-01-07 19:40:58
179,Victoria,HK,22.2855,114.1577,66.38,63,100,10.0,overcast clouds,2023-01-07 19:29:10
180,Cherskiy,RU,68.75,161.3,-26.93,96,100,4.18,overcast clouds,2023-01-07 19:40:59
181,Kenai,US,60.5544,-151.2583,11.08,87,20,3.44,mist,2023-01-07 19:31:23
182,Narsaq,GL,60.9167,-46.05,11.5,72,91,8.41,overcast clouds,2023-01-07 19:40:59
183,Chimbote,PE,-9.0853,-78.5783,73.44,68,6,9.8,clear sky,2023-01-07 19:41:00
184,Robstown,US,27.7903,-97.6689,82.96,70,75,17.27,broken clouds,2023-01-07 19:41:00
185,Vao,NC,-22.6667,167.4833,78.04,86,89,8.32,overcast clouds,2023-01-07 19:33:33
186,Hovd,MN,48.0056,91.6419,11.8,72,2,4.16,clear sky,2023-01-07 19:41:01
187,George Town,MY,5.4112,100.3354,78.73,83,20,5.75,few clouds,2023-01-07 19:41:01
188,Ikom,NG,5.9667,8.7063,79.23,38,1,3.36,clear sky,2023-01-07 19:41:02
189,Kemin,KG,42.7846,75.6892,33.64,64,63,5.28,broken clouds,2023-01-07 19:41:02
190,Vila,PT,42.0304,-8.1588,43.68,94,100,8.03,overcast clouds,2023-01-07 19:41:03
191,Yadgir,IN,16.7667,77.1333,67.77,45,0,7.65,clear sky,2023-01-07 19:41:03
192,Grand-Santi,GF,4.25,-54.3833,75.87,98,100,3.56,moderate rain,2023-01-07 19:33:36
193,Rawson,AR,-43.3002,-65.1023,76.21,48,51,16.75,broken clouds,2023-01-07 19:40:54
194,Plettenberg Bay,ZA,-34.0527,23.3716,65.7,87,76,8.05,broken clouds,2023-01-07 19:41:04
195,Hailar,CN,49.2,119.7,3.67,97,100,4.54,light snow,2023-01-07 19:41:04
196,La Crosse,US,43.8014,-91.2396,24.37,76,0,3.44,haze,2023-01-07 19:41:05
197,Lilongwe,MW,-13.9669,33.7873,66.9,92,100,0.74,overcast clouds,2023-01-07 19:41:05
198,Skanderborg,DK,56.0399,9.9272,46.94,92,100,5.99,overcast clouds,2023-01-07 19:41:05
199,Nago,JP,26.5881,127.9761,50.43,69,0,8.9,clear sky,2023-01-07 19:36:49
200,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-1.23,71,0,6.71,clear sky,2023-01-07 19:41:06
201,Kruisfontein,ZA,-34.0033,24.7314,62.35,81,19,7.61,few clouds,2023-01-07 19:41:06
202,Lyuban,BY,52.7985,28.0048,17.96,62,79,10.76,broken clouds,2023-01-07 19:41:07
203,Northam,GB,51.0333,-4.2167,46.62,91,51,26.02,broken clouds,2023-01-07 19:41:07
204,Talnakh,RU,69.4865,88.3972,-39.75,99,100,6.76,overcast clouds,2023-01-07 19:31:39
205,Palmer,US,42.1584,-72.3287,42.46,70,75,9.22,broken clouds,2023-01-07 19:39:48
206,Kulu,TR,39.0951,33.0799,34.79,69,3,2.17,clear sky,2023-01-07 19:41:08
207,Labuhan,ID,-6.8844,112.2051,76.44,86,100,9.75,overcast clouds,2023-01-07 19:41:08
208,Thompson,CA,55.7435,-97.8558,5.16,85,20,5.75,few clouds,2023-01-07 19:41:09
209,Anito,PH,12.4497,125.2886,77.7,68,100,13.76,overcast clouds,2023-01-07 19:41:09
210,Kamina,CD,-8.7386,24.9906,63.1,96,100,1.3,overcast clouds,2023-01-07 19:41:10
211,Copiapo,CL,-27.3667,-70.3333,71.29,24,0,12.59,clear sky,2023-01-07 19:32:36
212,Alugan,PH,12.2188,125.4808,78.46,69,100,16.42,overcast clouds,2023-01-07 19:33:05
213,Santa Rosalia,MX,27.3167,-112.2833,65.08,45,0,7.67,clear sky,2023-01-07 19:41:11
214,East London,ZA,-33.0153,27.9116,66.4,81,82,5.21,broken clouds,2023-01-07 19:41:11
215,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,94,100,17.27,mist,2023-01-07 19:41:12
216,Abu Dhabi,AE,24.4667,54.3667,66.22,83,0,6.91,clear sky,2023-01-07 19:30:57
217,Kalashnikovo,RU,57.2824,35.2262,-11.4,99,9,3.74,clear sky,2023-01-07 19:41:12
218,Taikang,CN,46.8333,124.4167,1.24,92,100,7.36,overcast clouds,2023-01-07 19:41:13
219,Dubbo,AU,-32.25,148.6167,59.13,88,0,9.22,clear sky,2023-01-07 19:39:29
220,Alta Floresta,BR,-9.8756,-56.0861,73.6,96,100,0.85,moderate rain,2023-01-07 19:41:13
221,Katsuura,JP,35.1333,140.3,44.06,68,3,9.15,clear sky,2023-01-07 19:41:15
222,Srednekolymsk,RU,67.45,153.6833,-38.63,96,100,7.74,overcast clouds,2023-01-07 19:32:03
223,Mitsamiouli,KM,-11.3847,43.2844,80.89,79,17,9.73,few clouds,2023-01-07 19:41:16
224,Cidreira,BR,-30.1811,-50.2056,74.53,70,23,15.35,few clouds,2023-01-07 19:41:16
225,Uvat,RU,59.1433,68.8953,3.18,95,100,10.13,light snow,2023-01-07 19:41:17
226,Pangnirtung,CA,66.1451,-65.7125,-5.8,84,75,2.3,broken clouds,2023-01-07 19:31:20
227,San Policarpo,PH,12.1791,125.5072,78.82,69,100,17.43,overcast clouds,2023-01-07 19:41:17
228,Auki,SB,-8.7676,160.7034,78.96,85,100,4.88,overcast clouds,2023-01-07 19:41:17
229,Vanavara,RU,60.34,102.2797,-8.55,97,98,7.52,overcast clouds,2023-01-07 19:41:18
230,Grajau,BR,-5.8194,-46.1386,80.85,79,72,3.44,light rain,2023-01-07 19:41:19
231,Dengfeng,CN,34.4553,113.0281,45.73,23,0,4.88,clear sky,2023-01-07 19:41:19
232,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,6.91,scattered clouds,2023-01-07 19:41:19
233,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,92,99,14.94,overcast clouds,2023-01-07 19:31:39
234,Pontivy,FR,48.0,-3.0,50.29,79,39,15.46,scattered clouds,2023-01-07 19:41:20
235,Buchanan,LR,5.8808,-10.0467,79.09,82,8,7.67,clear sky,2023-01-07 19:41:20
236,Pacifica,US,37.6138,-122.4869,61.41,61,100,17.27,haze,2023-01-07 19:38:23
237,Evansville,US,37.9748,-87.5558,54.0,46,0,6.91,clear sky,2023-01-07 19:41:21
